ABERGWESSIN-ABOVE-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SN852530,Long,-3.6797774,Lat,52.163294,Elevation,1010,ft.,,,,,,,,,,,,
Station no,RR4043,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,6.6,3.7,2.74,4.89,14.3,7.86,7.35,4.56,9.68,10.85,4.35,10.6,-999,,
February,,,,,,0.9,3.55,6.64,5.91,8.25,6.11,2.37,2.63,7.56,7.55,4.75,-999,-999,-999,
March,,,,,,8.6,9.95,9.54,2.68,3.68,1.73,7.82,4.86,12.75,3.6,10.28,-999,3.48,-999,
April,,,,,,3.8,1.95,5.76,4.46,8.52,2.93,6.15,3.27,2.83,5.05,8.55,-999,-999,3.3,
May,,,,,,0.9,0.15,2.8,5.84,5.54,5.57,1.63,4.4,4.59,3.35,0.6,-999,-999,-999,
June,,,,,,1.4,3,2.99,4.95,2.25,5.82,4.27,3.55,1.96,2.94,,3.42,-999,-999,
July,,,,,,7.3,3.1,2.36,1.51,3.75,3.38,1.69,2.34,5.05,3.73,5.64,-999,-999,7.3,
August,,,,,,5.95,4.65,7.44,7.74,2.46,7.99,6.25,5.1,10.44,6.23,6.84,-999,-999,-999,
September,,,,,,1.55,12.35,7.26,2.55,7.13,3.22,4.29,3.1,7.44,3.5,3.89,1.7,1.3,-999,
October,,,,,8.47,6.6,7.55,3.05,8.37,5.35,9.37,4.85,5.8,16.5,4.65,,-999,,-999,
November,,,,,9.45,10.03,2.45,7.24,5.91,6.46,6.67,5.27,5.24,7.85,5.18,11.72,-999,,-999,
December,,,,,7.63,6.65,12.35,13.91,12.52,4.58,12.2,10.35,8.24,6.15,7.25,2.1,9,,-999,
Total,,,,,,60.28,64.75,71.73,67.33,72.27,72.85,62.29,53.09,92.8,63.88,58.72,70.18,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is near the vicarage at the stated altitude, which is what seems to be implied by the description on the record. NGR could be +/- 250m E/W",,,,,,,,,,,,,,,,,,,,
Combined readings,,,,,,,,,,,,,,,,,,,,
Feb/Mar 1906,13.2,,,,,,,,,,,,,,,,,,,
Apr/May 1906,7.78,,,,,,,,,,,,,,,,,,,
Jul/Aug 1906,8.48,,,,,,,,,,,,,,,,,,,
Oct/Nov 1906,16,,,,,,,,,,,,,,,,,,,
Jan/Feb 1907,8.15,,,,,,,,,,,,,,,,,,,
Apr to Aug 1907,24.52,,,,,,,,,,,,,,,,,,,
Feb/Mar 1908,11,,,,,,,,,,,,,,,,,,,
May/Jun 1908,6.33,,,,,,,,,,,,,,,,,,,
Aug/Sep 1908,11.25,,,,,,,,,,,,,,,,,,,
Oct to Dec 1908,12.8,,,,,,,,,,,,,,,,,,,
