AUSTWICK-CROSS-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD767684,Long,-2.3578891,Lat,54.110944,Elevation,500,ft.,,,,,,,,,,,,
Station no,3067,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,6.37,1.17,4.95,6.59,6.08,,,,,,
February,,,,,,,,,,4.15,5.41,1.57,2.66,2.47,,,,,,
March,,,,,,,,,,2.38,2.84,2.87,1.66,0.81,,,,,,
April,,,,,,,,,,2.16,1.24,2.35,2.72,2.53,,,,,,
May,,,,,,,,,0.88,0.88,0.39,3.93,3.46,2.69,,,,,,
June,,,,,,,,,3.28,3.28,2.13,1.24,3.3,3.14,,,,,,
July,,,,,,,,,4.88,4.88,1.91,4.01,3.18,3.49,,,,,,
August,,,,,,,,,2.2,2.2,5.03,4.08,5.97,2.27,,,,,,
September,,,,,,,,,1.42,1.42,0.84,3.35,4.25,6.74,,,,,,
October,,,,,,,,,2.32,2.32,6.26,4.53,4.16,5.42,,,,,,
November,,,,,,,,,5.64,5.64,2.61,1.41,3.33,7.17,,,,,,
December,,,,,,,,,2.43,2.43,3.03,3.97,3.44,4.39,,,,,,
Total,,,,,,,,,,38.11,32.86,38.26,44.72,47.2,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Cross House. Altitudes match,,,,,,,,,,,,,,,,,,,,
