CLARE-NETHERGATE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL767451,Long,0.57699998,Lat,52.076064,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.73,1.74,1.81,0.83,1.57,1.41,2.46,3.37,,,,,,,,,18.3,14.7,17.1,,,
February,,,,,,,,,,0.91,0.55,2.29,0.28,1.32,0.31,2.54,2.41,,,,,,,,,15.6,19.3,16.7,,,
March,,,,,,,,,,0.02,1.4,0.12,1.21,2.01,1.98,0.56,0.42,,,,,,,,,11,10.4,39.3,,,
April,,,,,,,,,,1.33,2.01,2.88,1.98,1.18,1.69,2.57,1.39,,,,,,,,,10.8,9.5,18.3,,,
May,,,,,,,,,,1.05,2.87,2.69,3.49,1.22,0.55,2.04,,,,,,,,,,25.5,13.7,6.3,,,
June,,,,,,,,,,0.8,1.02,1,0.59,1.44,1.38,2.51,2.85,,,,,,,,,19.3,27.2,30.1,,,
July,,,,,,,,,,2.08,3.56,3.2,2.36,1.65,1.56,0.76,3.16,,,,,,,,,14.6,56.9,20,,,
August,,,,,,,,,,1.12,3.16,4.41,1.61,1.21,1.66,0.95,0.47,,,,,,,,,28.2,41.6,1.4,,,
September,,,,,,,,,,0.77,4.06,1.83,1.05,2.4,1.32,2.71,2.72,,,,,,,,,29.3,27.5,12.6,,,
October,,,,,,,,,,2.89,1.03,0.64,4.54,2.05,1.27,2.14,1.84,,,,,,,,,25.5,25.9,1,,,
November,,,,,,,,,,3.77,3.47,1.86,1.68,1.22,1.79,3.32,2.96,,,,,,,,,4.8,34,10.5,,,
December,,,,,,,,,,4.7,1.97,0.93,0.41,0.44,3.42,2.63,1.54,,,,,,,,,26.2,25.6,29.1,,,
Total,,,,,,,,,,21.17,26.84,23.66,20.03,17.71,18.34,25.19,,,,,,,,,,229.1,306.3,202.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 May estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
