CRAIGENCALLIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX504779,Long,-4.344594,Lat,55.07295,Elevation,740,ft,,,,,,,,,,,,
Station no,5015/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.96,10.41,11.26,9.42,4.96,10.54,8.26,14.63,8.9,6.35,10.13,8.88,5.97,7.55,5.78,6.77,8.94,11.51,3.82,7.33
February,5.25,3.2,7.6,3.91,9.14,5.08,1.28,6.75,8.21,7.93,6.16,2.56,3.39,6.64,3.86,2.07,4.38,8.56,4.9,9.9
March,5.9,6.76,2.8,1.34,5.28,4.11,7.49,7.59,4.7,6.55,6.02,5.31,1.28,5.89,4.09,4.16,9.29,2.52,6.84,3.07
April,4.57,3.94,4.62,4.83,2.87,2.32,10.25,4.32,10.18,7.67,5.82,4.18,4.35,3.1,5.86,2.27,4.72,3.04,6.81,9.87
May,5.21,4.87,4.67,4.48,6.08,1.04,5.75,2.72,3.16,2.98,2.69,3.61,4.99,5.07,6.7,4.47,4.09,5.61,2.58,3.7
June,1.43,1.67,5.6,6.92,5.24,8.18,6.5,7.1,1.34,6.67,3.61,5.07,3.29,9.57,5.8,4.65,2.83,5.12,4.54,4.99
July,4.51,5.08,4.04,3.43,4.1,6.12,6.07,6.72,2.78,7.74,5.09,5.02,11.18,8.17,2.87,7.1,7.02,5.28,7.69,5.95
August,10.49,7.77,9.87,5.07,2.73,6.17,0.21,8.96,6.36,10.51,10.81,6.62,6.7,6.93,2.53,10.65,7.85,6.22,1.63,6.69
September,4.52,9.32,5.37,7.09,7.18,14.29,8.8,7.74,3.33,18.51,9.12,4.96,11.62,12.69,6.47,7.11,8.73,9.03,2.85,5.14
October,9.85,10.98,12.56,7.64,8.77,0.97,3.6,6.59,9.16,8.23,1.45,6.17,5.73,15.68,5.45,6.95,8.48,8.04,10.28,7.81
November,6.48,2.36,6.15,11.2,0.58,12.59,13.02,7.42,10.77,5.96,13.6,5.12,12.04,14.67,4.72,5.17,4.25,4.75,11.71,14.5
December,5.75,12.65,4.59,9.8,5.83,8.98,6.48,9,16.1,4,15.64,8.15,8.78,15.34,12.53,9.08,12.04,7.56,17.13,9.36
Total,65.92,79.01,79.13,75.13,62.76,80.39,77.71,89.54,84.99,93.1,90.14,65.65,79.32,111.3,66.66,70.45,82.62,77.24,80.78,88.31
,,,,,,,,,,,,,,,,,,,,
1943 Jan adjusted for snow but total accepted,,,,,,,,,,,,,,,,,,,,
1947 Mar estimated but total accepted,,,,,,,,,,,,,,,,,,,,
1948 Dec estimated but total accepted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
src_id 13258; CRAIGENCALLIE,,,,,,,,,,,,,,,,,,,,
