EAST-AND-WEST-RUDHAM (WEST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF813280,Long,0.68902949,Lat,52.819043,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,0.7,1.53,1.43,2.49,,,,,,,,,,,2.6,,,,,,,,,
February,,,,,,,0.2,2.65,1.23,1.29,,,,,,,,,,,3.01,,,,,,,,,
March,,,,,,,3,3.06,1.61,1.78,,,,,,,,,,,0.84,,,,,,,,,
April,,,,,,,1.3,2.07,1.13,2.47,,,,,,,,,,,3.15,,,,,,,,,
May,,,,,,,0,1.27,2.08,1.94,,,,,,,,,,,4.15,,,,,,,,,
June,,,,,,,1.4,1.66,4.01,0.83,,,,,,,,,,,2.37,,,,,,,,,
July,,,,,,,2.4,1.09,0.99,2.22,,,,,,,,,,,4.42,,,,,,,,,
August,,,,,,,2.5,2.92,2.49,1.93,,,,,,,,,,,2.06,,,,,,,,,
September,,,,,,,4.17,4.72,0.14,4.42,,,,,,,,,,,1.55,,,,,,,,,
October,,,,,,,4.64,1.41,2.54,2.23,,,,,,,,,,,2.23,,,,,,,,,
November,,,,,,,1.25,1.85,2.88,2.21,,,,,,,,,,,3.02,,,,,,,,,
December,,,,,,,3.9,2.03,2.25,2.2,,,,,,,,,,,3.68,,,,,,,,,
Total,,,,,,,25.46,26.26,22.78,26.01,,,,,,,,,,,33.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs: W S Frenet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The years 1900-1909 are missing from the scanned TYRs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
