ELIOCK,,,,,,,,,,,,,,,,,,,,
Grid ref,NS798076,Long,-3.897089,Lat,55.347678,Elevation,470,ft,,,,,,,,,,,,
Station no,5030/97,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.22,4.72,8.43,5.62,2.46,7.21,6.92,,,,,,,,4.46,3.39,7.23,8.27,2.8,3.84
February,4.39,1.56,4.91,1.38,6.83,2.86,0,,,,,,,,1.68,1.33,4.67,4.49,1.46,7.22
March,2.82,3.43,1.53,0.34,3.17,2.97,4.48,,,,,,,,2.18,3.53,3.73,1.07,4.38,2.44
April,1.83,4.28,3.26,2.36,2.27,1.15,9.16,,,,,,,,1.83,1.32,2.21,1.11,3.85,5.08
May,4.32,4.62,4.46,2.14,4.42,1.2,4.88,,,,,,,,3.49,1.62,3.24,3.31,0.75,1.93
June,0.72,0.95,3.81,3.05,3.63,2.97,3.92,,,,,,,,1.72,3.71,1.68,3.14,,2.94
July,2.72,2.75,2.23,3.99,2.47,3.46,5.09,,,,,,,,2.12,5.64,2.96,4.64,,3.48
August,5.25,5.67,4.56,2.65,1.4,2.65,0.1,,,,,,,4.18,2.41,7.82,6.48,5.67,,4.18
September,3.31,5.15,3.76,5.69,7.51,9.75,4.79,,,,,,,8.97,3.99,5.67,4,5.8,,3.85
October,4.3,4.67,9.31,5.64,5.74,0.83,1.83,,,,,,,9.51,3.66,3.7,3.92,4.56,,3.78
November,4.71,1.34,3.23,8.05,0.32,8.88,6.08,,,,,,,11.78,3.51,2.15,2.6,1.8,9.29,10.6
December,2.47,10.05,2.71,7.95,4.75,4.72,2.44,,,,,,,6.96,6.5,7.1,5.66,5.22,,5.57
Total,38.06,49.19,52.2,48.86,44.97,48.65,49.69,,,,,,,,37.55,46.98,48.38,49.08,,54.91
,,,,,,,,,,,,,,,,,,,,
1947 Feb - nil so zero entred,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
13214,ELIOCK ,NS7976807392,01/01/1933,Current ,,,,,,,,,,,,,,,,
