FRINDSBURY-STONEHOUSE (ROCHESTER CLIFFE LODGE),,,,,,,,,,
Grid ref,TQ7329172315,Long,0.49106316,Lat,51.423353,Elevation,113,ft,,
Station no,RR4510,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,2.63,0.41,0.62,1.96,2.96,,,,,
February,3.56,0.77,1.29,1.31,2.45,,,,,
March,1.19,2.63,1.22,2.1,1.67,,,,,
April,1.32,1.62,0.59,1.43,1,,,,,
May,0.94,0.99,2.53,3.7,1.45,,,,,
June,2.43,0.7,2.38,5.57,,,,,,
July,1.55,2.26,1.73,5.02,,,,,,
August,1.73,1.32,2.59,2.99,,,,,,
September,0.94,1.35,1.1,1.92,,,,,,
October,1.94,1.75,1.83,3.64,,,,,,
November,2.75,0.56,1.15,2.78,,,,,,
December,2.29,3.18,1.77,1.67,,,,,,
Total,23.27,17.54,18.8,34.09,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1904 Jun Gauge moved,,,,,,,,,,
1904 Jul-Dec duplicate values removed,,,,,,,,,,
,,,,,,,,,,
Elevation corrected from OS map,,,,,,,,,,
