KIDDERMINSTER BRINTON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO825757,Long,-2.2585087,Lat,52.379054,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.94,0.97,0.59,2.18,2.1,0.72,2.94,0.85,0.61,0.96,2.07,0.5,3.15,3.16,0.75,2.85,0.94,1.66,1.93,2.93,2.65,2.59,3.73,1.48,2.71,1.71,2.93,2.47,,,
February,3.4,1.03,0.92,1.36,3.02,0.59,1.47,0.53,0.97,0.43,2.48,1.21,1.09,0.66,1.54,3.33,3.27,0.91,1.51,2.23,1.02,0.23,2.71,5.17,0.56,2.77,2.31,2.36,,,
March,0.79,1.31,0.74,3.25,1.17,2.5,0.73,0.62,2.61,2.31,0.45,1.33,3.25,4.43,1.97,0.54,2.6,2.24,1.31,4.46,2.22,1.15,1.78,1.38,1.37,0.66,0.51,2.32,,,
April,1.08,1.55,1.44,1.45,1.08,1.55,1.11,1.43,2.28,1.53,1.55,0.83,0.03,3.1,0.82,1.2,0.69,1.16,2.02,1.89,3.43,0.76,1.89,2.56,2.73,2.11,1.88,1.28,,,
May,1.78,0.73,1.86,4.22,3.32,0.36,2.03,2.71,1.91,1.06,1.32,0.61,3.17,1.95,0.98,2.57,2.35,3.38,1.92,0.63,2.33,0.88,0.98,1.49,6.63,2.55,2.36,1.53,,,
June,2.24,2.73,2.44,2.37,0.43,3.59,3.03,2.06,2.79,3.79,2.46,2.05,4.78,1.3,2.29,1.03,0.98,2.61,1.25,0.83,2.07,0.36,0.75,0.35,1.68,0.12,1.49,4.07,,,
July,2.06,2.2,0.73,1.93,2.51,1.17,0.83,2,1.88,2.85,1.83,0.22,2.45,1.31,3.92,6.49,2.03,2.72,2.58,2.22,3.5,0.52,4.58,2.87,4.23,3.08,3.05,3.75,,,
August,2.14,1.83,3.93,4.31,1.97,4.37,1.01,2.61,2.5,1.45,5.42,1.65,6.38,1.26,1.5,2.29,1.6,5.02,1.38,2.53,0.81,3.34,3.4,1.52,3.15,1.79,2.14,3.82,,,
September,0.56,0.92,0.67,3.32,1.75,0.87,0.79,0.45,1.52,2.62,0.74,1.15,0.65,1.74,0.8,0.67,1.08,1.86,6.61,1.53,1.71,0.75,2.28,2,3.5,3.66,0.88,4.08,,,
October,2.39,0.97,1.89,5.27,0.58,0.95,4,5.03,1.56,2.19,2.33,1.73,2.73,4.41,1.28,2.24,3.63,2.74,1.08,2.16,3.09,1.62,0.33,3.39,3.82,3.97,2.49,1.73,,,
November,1.73,0.6,1.24,1.48,1.02,2.26,2.31,2.12,1.42,0.44,3.17,2.26,1.8,2.58,2.76,2.24,2.85,1.03,1.75,1,0.6,1.91,0.84,1.51,2.02,1.39,5.17,3.07,,,
December,4.38,3.03,1.04,1.33,1.59,0.6,1.56,2.37,1.79,3.25,3.57,4.92,3.26,1.07,5.45,4.27,2.22,0.71,2.19,2.72,2.01,1.76,3.21,2.61,2.6,2.54,0.45,2.03,,,
Total,25.49,17.87,17.49,32.47,20.54,19.53,21.81,22.78,21.84,22.88,27.39,18.46,32.74,26.97,24.06,29.72,24.24,26.04,25.53,25.13,25.44,15.87,26.48,26.33,35,26.35,25.66,32.51,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 total added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Jan estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
