LINDEAN RESERVOIR,,,,,,,,,,
Grid ref,NT504289,Long,-2.78774,Lat,55.551262,Elevation,860,ft,,
Station no,5060/0/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.87,3.67
February,,,,,,,,,0.76,5.33
March,,,,,,,,,0.9,2.12
April,,,,,,,,,2.55,1.68
May,,,,,,,,,0.48,1.85
June,,,,,,,,,3.31,1.66
July,,,,,,,,,2.66,3.17
August,,,,,,,,2.7,0.43,4
September,,,,,,,,2.66,1.04,1.32
October,,,,,,,,2.17,3.29,3.36
November,,,,,,,,0.66,5.6,3.44
December,,,,,,,,4.18,3.41,2.74
Total,,,,,,,,,26.3,34.34
,,,,,,,,,,
also as RR4072,,,,,,,,,,
15980,LINDEAN RESR ,01/01/1958,31/12/1964,,,,,,,
