LINTON ON OUSE AIRFIELD,,,,,,,,,,
Grid ref,SE492613,Long,-1.250,Lat,54.045,Elevation,46,ft,,
Station no,3450/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.02,,
February,,,,,,,,3.97,,
March,,,,,,,,1.94,,
April,,,,,,,,0.74,,
May,,,,,,,,2.60,,
June,,,,,,,,2.69,,
July,,,,,,,,2.22,,
August,,,,,,,,1.84,,
September,,,,,,,,2.78,,
October,,,,,,,,1.34,,
November,,,,,,,,0.64,,
December,,,,,,,,3.33,,
Total,,,,,,,,26.11,,
,,,,,,,,,,
TYRain_1951-1960_22_pt1/003,,,,,,,,,,
,,,,,,,,,,
# The station is still active according to MIDAS. (MIDAS src_id = 346),,,,,,,,,,
