MANCHESTER BRIDGE STREET,,,,,,,,,,
Grid ref,SJ835982,Long,-2.2500924,Lat,53.48026,Elevation,117,ft,,
Station no,RR6432,,,,,,,,,
,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,1.29,,,,,,
February,,,,3.28,,,,,,
March,,,,2.66,,,,,,
April,,,,1.7,,,,,,
May,,,,2.73,,,,,,
June,,,,2.17,,,,,,
July,,,,5.06,,,,,,
August,,,,4.68,,,,,,
September,,,,3.8,,,,,,
October,,,,3.06,,,,,,
November,,,,1.69,,,,,,
December,,,,3.86,,,,,,
Total,,,,35.98,,,,,,
,,,,,,,,,,
NGR middle of Bridge Street as no other info on record,,,,,,,,,,
Observer T(homas) Hanson was a surgeon based on Bridge Street. Believed to have been house surgeon at lying-in hospitcal St Marys occupying a house in Bridge St.,,,,,,,,,,
