"NELSON, RED SPA MOOR",,,,,,,,,,,,,,,,,,,,,
Grid ref,SD910352,Long,-2.138167,Lat,53.813005,Elevation,1285,ft,,,,,,,,,,,,,
Station no,2973,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.18,5.95,5.09,3.98,3.2,2.8,1.34,5.16,4.53,5.14,6.45,2.9
February,,,,,,,,,,0.85,0.95,4.72,0.27,2.32,0.31,4.05,2.75,6.13,1.56,4.25,2.92
March,,,,,,,,,,1.07,2.35,0.4,2.2,2.15,1.91,1.51,2.42,4.55,1.95,2.43,3.36
April,,,,,,,,,,1.35,3.95,3.18,2.84,1.7,2.94,2.42,1.25,3.13,0.59,2.05,2.34
May,,,,,,,,,,2.47,2.04,2.31,4,2.54,2.17,0.83,0.92,2.6,4.1,1.22,1.4
June,,,,,,,,,,2.1,2,5.83,0.97,2.05,2.54,4.5,4.47,2.15,4.05,3.12,0.82
July,,,,,,,,,,2.77,6.2,4.39,3.78,2.65,2,1.38,4.78,2.14,4.83,6.3,4.65
August,,,,,,,,,,6.13,6.51,4.4,1.45,1.3,3.42,1.69,3.59,2.05,6.64,3.42,2.65
September,,,,,,,,,,1.63,3.6,4.51,5.65,1.65,3.3,7.03,4.95,2.22,2.14,1.43,3.64
October,,,,,,,,,,5.15,5.3,2.54,6.04,3.85,3.79,9.22,4.5,2.7,7,4.44,4.14
November,,,,,,,,,,6.92,5.05,4.8,2.44,2.7,2.27,5.9,5.17,1.97,5.82,6.95,6.06
December,,,,,,,,,,8.25,2.88,1.75,1.9,0.55,6.03,3.61,3.92,3.43,5.61,2.7,4.4
Total,,,,,,,,,,41.87,46.78,43.92,35.52,26.66,33.48,43.48,43.88,37.6,49.43,44.76,39.28
,,,,,,,,,,,,,,,,,,,,,
1939 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,,
