NETHER WASDALE VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY124041,Long,-3.351684,Lat,54.424757,Elevation,182,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,,6.68,2.13,4.85,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,1.15,0.6,2.69,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,4.5,4.74,0.79,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,1.68,2.65,2.18,,,,,,,,,,,,,,,,,
May,,,,,,,,,,4.49,3.63,1.69,4.89,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.88,7.08,2.4,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.01,5.35,3.86,,,,,,,,,,,,,,,,,,9.25
August,,,,,,,,,,7.15,5.1,10.34,,,,,,,,,,,,,,,,,,5.7
September,,,,,,,,,,,8,7.52,,,,,,,,,,,,,,,,,,3.5
October,,,,,,,,,,,4.53,8.6,,,,,,,,,,,,,,,,,,9.66
November,,,,,,,,,,2.47,8.87,6.34,,,,,,,,,,,,,,,,,,3.33
December,,,,,,,,,,5.23,2.18,7.14,,,,,,,,,,,,,,,,,,12.5
Total,,,,,,,,,,,58.75,58.01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 TYR to add ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_22_pt1,171,NETHERWASDALE VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
