THE GLEN PEEBLES,,,,,,,,,,
Grid ref,NT297330,Long,-3.1168301,Lat,55.585546,Elevation,765,ft,,
Station no,RR6568,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,5,,4.9,4.35,
February,,,,,,2.6,,2.95,9.79,
March,,,,,,2.3,,1.47,6.41,
April,,,,,,0.8,,6.2,3.1,
May,,,,,,4.65,,1.89,1.76,
June,,,,,,0.42,,1.35,0.21,
July,,,,,,,,1.76,,
August,,,,,,,,1.29,3.08,
September,,,,,,,,3.34,1.74,
October,,,,,,5.3,,2.12,3.56,
November,,,,,,4.4,,0.6,,
December,,,,,,5,,3.31,,
Total,,,,,,,,31.18,,
