TUNBRIDGE-WELLS-ETHERTON-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ5594541893,Long,0.22851541,Lat,51.155047,Elevation,276,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,0.32,1.45,0.99,2.33,2.48,2.07,3.96,1.8,0.58,0.87,2.71,,0.45,1.68,3.62,2.25,0.61,1.83,0.38,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.79,2.81,1.19,4.02,1.55,3.25,0.32,0.65,1.39,2.22,1.24,0,1.52,3.86,1.83,0.61,0.22,2.59,1.33,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.47,1.52,1.13,1.21,1.75,1.73,1.64,1.49,3.69,2.1,2.33,2.28,1.63,0.41,1.34,1.34,2.37,4.08,1.31,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.04,-999,2.5,1.52,1.19,1.84,2.03,1.7,1.78,3.61,2.6,0.45,1.3,0.06,1.82,1.7,0.56,2.13,0.92,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.22,-999,1.06,2.13,0.54,2.9,4.08,1.86,0.91,1.37,1.72,3.71,1.46,0.57,1.39,0.08,0.33,0.89,3.48,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,3.21,1.38,2.35,1.92,1.3,0.89,0.71,0.98,2.88,2.53,2,2.11,2.91,1.01,2.25,0.26,3.88,2.13,1.41,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.78,1.12,3.22,3.09,2.19,0.25,2.08,1.32,3.76,2.48,4.44,3.08,1.39,3.55,4.02,3.13,0.87,0.33,0.37,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,0.95,3.81,1.5,0.58,0.59,0.72,2.81,2.94,2.88,2.36,2.67,3.59,2.08,0.65,2.12,1.76,2.19,2.63,1.07,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,5.08,2.26,3.03,3.23,3.85,4.76,1.49,3.41,1.95,1.32,0.89,1.44,1.93,2.72,2.9,0.35,5.59,2.6,0.34,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,8.24,3.09,6.93,2.14,1.25,3.51,3.41,1.51,1.59,6.15,0.63,8.19,5.22,4.06,4.09,2.67,3.81,0.25,3.46,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,2.24,3.65,3.3,3.97,0.68,3.37,3.85,5.54,4.34,1.43,2.67,2.6,2,1.93,4.94,5.11,1.41,1.05,2.91,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.09,2.91,2.49,1.08,3.24,1.06,4.77,1.9,1.64,1.47,0.69,3.12,1.1,2.24,1.75,3.29,3.31,3.37,2.05,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
